#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
KAJ2915492.1         -          nacht_mafft_aligned  -              2e-30  105.1   0.0   2.9e-10   38.8   0.0   3.3   3   0   0   3   3   3   3 hypothetical protein MD484_g4894, partial [Candolleomyces efflorescens]
KAJ2913429.1         -          nacht_mafft_aligned  -            4.7e-09   34.8   0.0   8.5e-09   33.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6987, partial [Candolleomyces efflorescens]
KAJ2911910.1         -          nacht_mafft_aligned  -            5.2e-09   34.6   0.0   2.6e-08   32.3   0.0   1.8   2   0   0   2   2   2   1 hypothetical protein MD484_g8503, partial [Candolleomyces efflorescens]
KAJ2919937.1         -          nacht_mafft_aligned  -            5.3e-09   34.6   0.0   7.9e-09   34.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g413, partial [Candolleomyces efflorescens]
KAJ2916262.1         -          nacht_mafft_aligned  -            5.6e-09   34.5   0.0   8.8e-09   33.9   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g4175, partial [Candolleomyces efflorescens]
KAJ2919026.1         -          nacht_mafft_aligned  -            5.7e-09   34.5   0.0   1.1e-08   33.6   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g1466, partial [Candolleomyces efflorescens]
KAJ2913624.1         -          nacht_mafft_aligned  -            1.2e-08   33.5   0.0   1.6e-08   33.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6787, partial [Candolleomyces efflorescens]
KAJ2917574.1         -          nacht_mafft_aligned  -            1.2e-08   33.4   0.0   1.9e-08   32.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2858, partial [Candolleomyces efflorescens]
KAJ2912847.1         -          nacht_mafft_aligned  -            1.3e-08   33.3   0.0   1.8e-08   32.9   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7566, partial [Candolleomyces efflorescens]
KAJ2919061.1         -          nacht_mafft_aligned  -            1.3e-08   33.3   0.0   1.8e-08   32.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g1334, partial [Candolleomyces efflorescens]
KAJ2913633.1         -          nacht_mafft_aligned  -            1.4e-08   33.2   0.0   2.7e-08   32.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6777, partial [Candolleomyces efflorescens]
KAJ2912897.1         -          nacht_mafft_aligned  -              2e-08   32.7   0.0   4.2e-08   31.6   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein MD484_g7517, partial [Candolleomyces efflorescens]
KAJ2917565.1         -          nacht_mafft_aligned  -            2.4e-08   32.5   0.0   3.6e-08   31.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2853, partial [Candolleomyces efflorescens]
KAJ2913641.1         -          nacht_mafft_aligned  -            2.8e-08   32.2   0.0   4.2e-08   31.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6780, partial [Candolleomyces efflorescens]
KAJ2920022.1         -          nacht_mafft_aligned  -            2.9e-08   32.2   0.0   3.3e-07   28.7   0.0   2.0   2   0   0   2   2   2   1 hypothetical protein MD484_g465, partial [Candolleomyces efflorescens]
KAJ2912675.1         -          nacht_mafft_aligned  -              3e-08   32.1   0.0   4.5e-08   31.5   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7738, partial [Candolleomyces efflorescens]
KAJ2917319.1         -          nacht_mafft_aligned  -            3.3e-08   32.0   0.0     6e-08   31.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g3113, partial [Candolleomyces efflorescens]
KAJ2918190.1         -          nacht_mafft_aligned  -            3.6e-08   31.8   0.1   0.00056   18.1   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein MD484_g2237, partial [Candolleomyces efflorescens]
KAJ2915028.1         -          nacht_mafft_aligned  -            3.7e-08   31.8   0.0   5.4e-08   31.3   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g5365, partial [Candolleomyces efflorescens]
KAJ2916239.1         -          nacht_mafft_aligned  -            4.1e-08   31.7   0.1   8.8e-08   30.6   0.1   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g4173, partial [Candolleomyces efflorescens]
KAJ2916153.1         -          nacht_mafft_aligned  -            4.5e-08   31.5   0.0   8.2e-08   30.7   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g4266, partial [Candolleomyces efflorescens]
KAJ2918191.1         -          nacht_mafft_aligned  -            4.8e-08   31.5   0.0    0.0002   19.5   0.0   2.1   2   0   0   2   2   2   2 hypothetical protein MD484_g2236, partial [Candolleomyces efflorescens]
KAJ2911690.1         -          nacht_mafft_aligned  -              6e-08   31.1   0.0   1.2e-07   30.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g8726, partial [Candolleomyces efflorescens]
KAJ2912236.1         -          nacht_mafft_aligned  -              6e-08   31.1   0.0   9.3e-08   30.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8175, partial [Candolleomyces efflorescens]
KAJ2918741.1         -          nacht_mafft_aligned  -              8e-08   30.7   0.0   4.5e-07   28.2   0.0   2.0   2   0   0   2   2   2   1 hypothetical protein MD484_g1643, partial [Candolleomyces efflorescens]
KAJ2914157.1         -          nacht_mafft_aligned  -            8.4e-08   30.6   0.0   1.3e-07   30.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6254, partial [Candolleomyces efflorescens]
KAJ2911752.1         -          nacht_mafft_aligned  -            9.6e-08   30.5   0.0   1.5e-07   29.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8660, partial [Candolleomyces efflorescens]
KAJ2915779.1         -          nacht_mafft_aligned  -              1e-07   30.4   0.0   2.1e-07   29.3   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g4657, partial [Candolleomyces efflorescens]
KAJ2915782.1         -          nacht_mafft_aligned  -            1.1e-07   30.3   0.0   2.1e-07   29.3   0.0   1.4   1   1   0   1   1   1   1 hypothetical protein MD484_g4654, partial [Candolleomyces efflorescens]
KAJ2911889.1         -          nacht_mafft_aligned  -            1.2e-07   30.1   0.0   2.2e-07   29.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g8522, partial [Candolleomyces efflorescens]
KAJ2913632.1         -          nacht_mafft_aligned  -            1.3e-07   30.1   0.0   2.1e-07   29.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6776, partial [Candolleomyces efflorescens]
KAJ2919988.1         -          nacht_mafft_aligned  -            1.4e-07   30.0   0.0   4.8e-07   28.2   0.0   1.7   2   0   0   2   2   1   1 hypothetical protein MD484_g464, partial [Candolleomyces efflorescens]
KAJ2912137.1         -          nacht_mafft_aligned  -            1.7e-07   29.6   0.0   3.4e-07   28.6   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g8275, partial [Candolleomyces efflorescens]
KAJ2916244.1         -          nacht_mafft_aligned  -            1.8e-07   29.5   0.0     3e-07   28.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4161, partial [Candolleomyces efflorescens]
KAJ2911890.1         -          nacht_mafft_aligned  -            2.2e-07   29.3   0.0   3.8e-07   28.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g8525, partial [Candolleomyces efflorescens]
KAJ2913549.1         -          nacht_mafft_aligned  -            2.5e-07   29.1   0.0   7.8e-07   27.5   0.0   1.7   2   0   0   2   2   1   1 hypothetical protein MD484_g6866, partial [Candolleomyces efflorescens]
KAJ2916275.1         -          nacht_mafft_aligned  -            2.8e-07   28.9   0.0   4.5e-07   28.3   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4138, partial [Candolleomyces efflorescens]
KAJ2918102.1         -          nacht_mafft_aligned  -              3e-07   28.8   0.0   4.6e-07   28.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2282, partial [Candolleomyces efflorescens]
KAJ2911894.1         -          nacht_mafft_aligned  -            3.2e-07   28.8   0.0   6.1e-07   27.8   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g8521, partial [Candolleomyces efflorescens]
KAJ2912388.1         -          nacht_mafft_aligned  -            3.8e-07   28.5   0.0   7.1e-07   27.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g8023, partial [Candolleomyces efflorescens]
KAJ2911749.1         -          nacht_mafft_aligned  -              4e-07   28.4   0.0   6.3e-07   27.8   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g8666, partial [Candolleomyces efflorescens]
KAJ2915792.1         -          nacht_mafft_aligned  -            4.3e-07   28.3   0.0   9.7e-07   27.1   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein MD484_g4638, partial [Candolleomyces efflorescens]
KAJ2913642.1         -          nacht_mafft_aligned  -            4.5e-07   28.2   0.0   7.6e-07   27.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6785, partial [Candolleomyces efflorescens]
KAJ2916155.1         -          nacht_mafft_aligned  -            4.6e-07   28.2   0.0   7.2e-07   27.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4265, partial [Candolleomyces efflorescens]
KAJ2917910.1         -          nacht_mafft_aligned  -              5e-07   28.1   0.0     1e-06   27.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g2491, partial [Candolleomyces efflorescens]
KAJ2912476.1         -          nacht_mafft_aligned  -            5.6e-07   27.9   0.0   1.1e-06   27.0   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7936, partial [Candolleomyces efflorescens]
KAJ2913679.1         -          nacht_mafft_aligned  -            6.3e-07   27.8   0.0   9.7e-07   27.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6733, partial [Candolleomyces efflorescens]
KAJ2916260.1         -          nacht_mafft_aligned  -            6.3e-07   27.8   0.0     1e-06   27.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4153, partial [Candolleomyces efflorescens]
KAJ2914478.1         -          nacht_mafft_aligned  -            6.5e-07   27.7   0.0     1e-06   27.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g5935, partial [Candolleomyces efflorescens]
KAJ2918143.1         -          nacht_mafft_aligned  -            6.5e-07   27.7   0.0    0.0059   14.7   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein MD484_g2243, partial [Candolleomyces efflorescens]
KAJ2916069.1         -          nacht_mafft_aligned  -            6.9e-07   27.6   0.0     1e-06   27.1   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g4328, partial [Candolleomyces efflorescens]
KAJ2915532.1         -          nacht_mafft_aligned  -            8.7e-07   27.3   0.0   1.7e-06   26.3   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g4879, partial [Candolleomyces efflorescens]
KAJ2918154.1         -          nacht_mafft_aligned  -            9.2e-07   27.2   0.0   1.5e-06   26.5   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g2222, partial [Candolleomyces efflorescens]
KAJ2914538.1         -          nacht_mafft_aligned  -            9.5e-07   27.2   0.0   1.7e-06   26.4   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g5872, partial [Candolleomyces efflorescens]
KAJ2918192.1         -          nacht_mafft_aligned  -            1.4e-06   26.6   0.0      0.01   13.9   0.0   2.2   2   0   0   2   2   2   2 hypothetical protein MD484_g2235, partial [Candolleomyces efflorescens]
KAJ2913626.1         -          nacht_mafft_aligned  -            1.5e-06   26.5   0.0     7e-06   24.3   0.0   1.9   1   1   0   1   1   1   1 hypothetical protein MD484_g6789, partial [Candolleomyces efflorescens]
KAJ2916751.1         -          nacht_mafft_aligned  -              2e-06   26.1   0.0   3.8e-06   25.2   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g3639, partial [Candolleomyces efflorescens]
KAJ2912959.1         -          nacht_mafft_aligned  -            2.1e-06   26.1   0.0   4.1e-06   25.1   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7464, partial [Candolleomyces efflorescens]
KAJ2912964.1         -          nacht_mafft_aligned  -            2.2e-06   26.0   0.0   4.2e-06   25.0   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g7449, partial [Candolleomyces efflorescens]
KAJ2911893.1         -          nacht_mafft_aligned  -            2.3e-06   25.9   0.0   4.7e-06   24.9   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein MD484_g8519, partial [Candolleomyces efflorescens]
KAJ2917177.1         -          nacht_mafft_aligned  -            2.3e-06   25.9   0.0   3.3e-06   25.4   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g3241, partial [Candolleomyces efflorescens]
KAJ2918894.1         -          nacht_mafft_aligned  -            2.5e-06   25.8   0.0   4.4e-06   25.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g1480, partial [Candolleomyces efflorescens]
KAJ2912087.1         -          nacht_mafft_aligned  -            2.5e-06   25.8   0.0   6.3e-06   24.5   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein MD484_g8327, partial [Candolleomyces efflorescens]
KAJ2918734.1         -          nacht_mafft_aligned  -            2.5e-06   25.8   0.0   5.3e-06   24.7   0.0   1.5   1   0   0   1   1   1   1 hypothetical protein MD484_g1650, partial [Candolleomyces efflorescens]
KAJ2917377.1         -          nacht_mafft_aligned  -            3.2e-06   25.5   0.0   4.6e-06   24.9   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g3092, partial [Candolleomyces efflorescens]
KAJ2912827.1         -          nacht_mafft_aligned  -            3.5e-06   25.3   0.0   5.1e-06   24.8   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g7579, partial [Candolleomyces efflorescens]
KAJ2913603.1         -          nacht_mafft_aligned  -            4.5e-06   25.0   0.0   5.6e-06   24.7   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g6815, partial [Candolleomyces efflorescens]
KAJ2914652.1         -          nacht_mafft_aligned  -            6.5e-06   24.4   0.0    0.0049   15.0   0.0   2.1   2   0   0   2   2   2   1 hypothetical protein MD484_g5769, partial [Candolleomyces efflorescens]
KAJ2915777.1         -          nacht_mafft_aligned  -            7.4e-06   24.2   0.0   2.1e-05   22.8   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein MD484_g4651, partial [Candolleomyces efflorescens]
KAJ2915781.1         -          nacht_mafft_aligned  -            1.6e-05   23.1   0.0   6.2e-05   21.2   0.0   1.8   1   1   0   1   1   1   1 hypothetical protein MD484_g4655, partial [Candolleomyces efflorescens]
KAJ2919460.1         -          nacht_mafft_aligned  -              2e-05   22.8   0.0   3.7e-05   22.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g948, partial [Candolleomyces efflorescens]
KAJ2913644.1         -          nacht_mafft_aligned  -            2.3e-05   22.6   0.0   4.9e-05   21.5   0.0   1.5   1   1   0   1   1   1   1 hypothetical protein MD484_g6790, partial [Candolleomyces efflorescens]
KAJ2914458.1         -          nacht_mafft_aligned  -            2.7e-05   22.4   0.0   5.5e-05   21.4   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g5981, partial [Candolleomyces efflorescens]
KAJ2917280.1         -          nacht_mafft_aligned  -            3.2e-05   22.1   0.0   0.00012   20.3   0.0   1.9   1   1   0   1   1   1   1 hypothetical protein MD484_g3108, partial [Candolleomyces efflorescens]
KAJ2918488.1         -          nacht_mafft_aligned  -            3.4e-05   22.1   0.0   5.4e-05   21.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1952, partial [Candolleomyces efflorescens]
KAJ2916108.1         -          nacht_mafft_aligned  -            3.4e-05   22.1   0.0    0.0001   20.5   0.0   1.8   1   1   0   1   1   1   1 hypothetical protein MD484_g4303, partial [Candolleomyces efflorescens]
KAJ2913047.1         -          nacht_mafft_aligned  -            3.7e-05   22.0   0.0   6.6e-05   21.1   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g7367, partial [Candolleomyces efflorescens]
KAJ2913678.1         -          nacht_mafft_aligned  -            3.7e-05   22.0   0.1     5e-05   21.5   0.1   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g6732, partial [Candolleomyces efflorescens]
KAJ2917009.1         -          nacht_mafft_aligned  -            3.7e-05   22.0   0.0     5e-05   21.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3421, partial [Candolleomyces efflorescens]
KAJ2913771.1         -          nacht_mafft_aligned  -            3.7e-05   21.9   0.0   5.6e-05   21.3   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6650, partial [Candolleomyces efflorescens]
KAJ2916107.1         -          nacht_mafft_aligned  -              7e-05   21.0   0.0   0.00013   20.2   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g4300, partial [Candolleomyces efflorescens]
KAJ2917298.1         -          nacht_mafft_aligned  -            7.4e-05   21.0   0.0    0.0001   20.5   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3128, partial [Candolleomyces efflorescens]
KAJ2920116.1         -          nacht_mafft_aligned  -            7.5e-05   20.9   0.0   0.00014   20.0   0.0   1.4   1   0   0   1   1   1   1 hypothetical protein MD484_g261, partial [Candolleomyces efflorescens]
KAJ2913427.1         -          nacht_mafft_aligned  -            0.00012   20.2   0.3      0.23    9.5   0.0   2.4   2   1   0   2   2   2   1 hypothetical protein MD484_g6985, partial [Candolleomyces efflorescens]
KAJ2918927.1         -          nacht_mafft_aligned  -             0.0003   19.0   0.0   0.00044   18.4   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1543, partial [Candolleomyces efflorescens]
KAJ2919842.1         -          nacht_mafft_aligned  -            0.00035   18.7   0.0   0.00056   18.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g626, partial [Candolleomyces efflorescens]
KAJ2918968.1         -          nacht_mafft_aligned  -            0.00038   18.6   0.0     0.052   11.6   0.0   2.1   2   0   0   2   2   2   1 hypothetical protein MD484_g1452, partial [Candolleomyces efflorescens]
KAJ2916695.1         -          nacht_mafft_aligned  -            0.00053   18.1   0.0   0.00077   17.6   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g3694, partial [Candolleomyces efflorescens]
KAJ2919741.1         -          nacht_mafft_aligned  -            0.00075   17.6   0.5    0.0017   16.4   0.0   1.7   2   0   0   2   2   1   1 hypothetical protein MD484_g630, partial [Candolleomyces efflorescens]
KAJ2913753.1         -          nacht_mafft_aligned  -            0.00084   17.5   0.0    0.0016   16.6   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g6657, partial [Candolleomyces efflorescens]
KAJ2918262.1         -          nacht_mafft_aligned  -            0.00093   17.3   0.1    0.0075   14.3   0.0   2.0   2   0   0   2   2   2   1 hypothetical protein MD484_g2183, partial [Candolleomyces efflorescens]
KAJ2913414.1         -          nacht_mafft_aligned  -             0.0013   16.8   0.0    0.0024   16.0   0.0   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g7000, partial [Candolleomyces efflorescens]
KAJ2914025.1         -          nacht_mafft_aligned  -             0.0015   16.6   0.0    0.0024   16.0   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6397, partial [Candolleomyces efflorescens]
KAJ2917935.1         -          nacht_mafft_aligned  -             0.0017   16.5   0.0    0.0036   15.4   0.0   1.6   1   1   0   1   1   1   1 hypothetical protein MD484_g2512, partial [Candolleomyces efflorescens]
KAJ2913602.1         -          nacht_mafft_aligned  -             0.0017   16.5   0.2    0.0024   15.9   0.2   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g6816, partial [Candolleomyces efflorescens]
KAJ2919108.1         -          nacht_mafft_aligned  -             0.0019   16.3   0.0    0.0026   15.9   0.0   1.1   1   0   0   1   1   1   1 hypothetical protein MD484_g1351, partial [Candolleomyces efflorescens]
KAJ2918193.1         -          nacht_mafft_aligned  -             0.0027   15.8   0.1    0.0044   15.1   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2234, partial [Candolleomyces efflorescens]
KAJ2917518.1         -          nacht_mafft_aligned  -              0.003   15.6   0.0     0.005   14.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2896, partial [Candolleomyces efflorescens]
KAJ2915642.1         -          nacht_mafft_aligned  -             0.0034   15.5   0.0    0.0074   14.4   0.0   1.5   2   0   0   2   2   1   1 hypothetical protein MD484_g4750, partial [Candolleomyces efflorescens]
KAJ2918139.1         -          nacht_mafft_aligned  -             0.0034   15.5   0.1    0.0052   14.9   0.1   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g2248, partial [Candolleomyces efflorescens]
KAJ2919447.1         -          nacht_mafft_aligned  -             0.0055   14.8   0.1    0.0094   14.0   0.1   1.3   1   0   0   1   1   1   1 hypothetical protein MD484_g1052, partial [Candolleomyces efflorescens]
KAJ2919070.1         -          nacht_mafft_aligned  -             0.0056   14.8   0.0    0.0089   14.1   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g1348, partial [Candolleomyces efflorescens]
KAJ2912915.1         -          nacht_mafft_aligned  -             0.0057   14.7   0.0    0.0085   14.2   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g7507, partial [Candolleomyces efflorescens]
KAJ2916279.1         -          nacht_mafft_aligned  -             0.0069   14.5   0.0      0.01   13.9   0.0   1.2   1   0   0   1   1   1   1 hypothetical protein MD484_g4137, partial [Candolleomyces efflorescens]
KAJ2915992.1         -          nacht_mafft_aligned  -               0.01   13.9   0.0     0.026   12.5   0.0   1.6   2   0   0   2   2   1   0 hypothetical protein MD484_g4450, partial [Candolleomyces efflorescens]
KAJ2912547.1         -          nacht_mafft_aligned  -              0.011   13.8   0.0     0.039   12.0   0.0   1.7   1   1   0   1   1   1   0 hypothetical protein MD484_g7867, partial [Candolleomyces efflorescens]
KAJ2915250.1         -          nacht_mafft_aligned  -              0.012   13.6   0.0      0.02   12.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g5166, partial [Candolleomyces efflorescens]
KAJ2915821.1         -          nacht_mafft_aligned  -              0.013   13.5   0.0      0.02   12.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g4583, partial [Candolleomyces efflorescens]
KAJ2917053.1         -          nacht_mafft_aligned  -              0.031   12.3   0.0     0.047   11.7   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g3364, partial [Candolleomyces efflorescens]
KAJ2914120.1         -          nacht_mafft_aligned  -              0.032   12.3   0.5       0.2    9.6   0.2   2.0   2   0   0   2   2   2   0 hypothetical protein MD484_g6283, partial [Candolleomyces efflorescens]
KAJ2918218.1         -          nacht_mafft_aligned  -              0.035   12.2   0.1     0.054   11.5   0.1   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g2207, partial [Candolleomyces efflorescens]
KAJ2918253.1         -          nacht_mafft_aligned  -               0.04   12.0   0.0     0.058   11.4   0.0   1.1   1   0   0   1   1   1   0 hypothetical protein MD484_g2210, partial [Candolleomyces efflorescens]
KAJ2913001.1         -          nacht_mafft_aligned  -               0.04   11.9   0.0     0.062   11.3   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g7425, partial [Candolleomyces efflorescens]
KAJ2916191.1         -          nacht_mafft_aligned  -              0.048   11.7   0.0     0.066   11.2   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g4225, partial [Candolleomyces efflorescens]
KAJ2919645.1         -          nacht_mafft_aligned  -              0.052   11.6   0.0       0.1   10.6   0.0   1.5   2   0   0   2   2   1   0 hypothetical protein MD484_g816, partial [Candolleomyces efflorescens]
KAJ2912376.1         -          nacht_mafft_aligned  -              0.069   11.2   0.0      0.11   10.6   0.0   1.3   1   0   0   1   1   1   0 hypothetical protein MD484_g8032, partial [Candolleomyces efflorescens]
KAJ2914121.1         -          nacht_mafft_aligned  -               0.09   10.8   0.1      0.16   10.0   0.1   1.3   1   0   0   1   1   1   0 hypothetical protein MD484_g6280, partial [Candolleomyces efflorescens]
KAJ2914126.1         -          nacht_mafft_aligned  -               0.09   10.8   0.0      0.13   10.2   0.0   1.1   1   0   0   1   1   1   0 hypothetical protein MD484_g6279, partial [Candolleomyces efflorescens]
KAJ2918156.1         -          nacht_mafft_aligned  -               0.11   10.5   0.0      0.17    9.9   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g2224, partial [Candolleomyces efflorescens]
KAJ2917335.1         -          nacht_mafft_aligned  -               0.11   10.5   0.0      0.18    9.8   0.0   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g3047, partial [Candolleomyces efflorescens]
KAJ2914119.1         -          nacht_mafft_aligned  -               0.13   10.3   0.1      0.21    9.6   0.1   1.2   1   0   0   1   1   1   0 hypothetical protein MD484_g6282, partial [Candolleomyces efflorescens]
KAJ2918225.1         -          nacht_mafft_aligned  -                3.1    5.7  23.0       6.1    4.7  23.0   1.4   1   0   0   1   1   1   0 hypothetical protein MD484_g2150, partial [Candolleomyces efflorescens]
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      nacht_mafft_aligned.hmm
# Target file:     coprinopsis_allies/GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz_protein.faa
# Option settings: hmmsearch --tblout nacht_hits/nacht_hits.GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz_.txt nacht_mafft_aligned.hmm coprinopsis_allies/GCA_027579765.1_Candolleomyces_efflorescens_reassembly_enz_protein.faa 
# Current dir:     /mnt/LTR_userdata/auxie001/coprin_som/diverse
# Date:            Thu Aug 28 11:13:49 2025
# [ok]
